Country Name,Year,Primary Enrollment,GDP per Capita
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,15.6497306554281
Brazil,2001,19727684.0,39.3240926334866
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,1.47342564990849
Brazil,2001,19727684.0,0.265506377427882
Brazil,2001,19727684.0,0.155346730780887
Brazil,2001,19727684.0,0.194736548898029
Brazil,2001,19727684.0,319380.0
Brazil,2001,19727684.0,1.8024103708722
Brazil,2001,19727684.0,18.2922340817078
Brazil,2001,19727684.0,7.16623325823007
Brazil,2001,19727684.0,22900.415
Brazil,2001,19727684.0,74.7342311303042
Brazil,2001,19727684.0,238820.709
Brazil,2001,19727684.0,26.4529728644561
Brazil,2001,19727684.0,5.21296884933248
Brazil,2001,19727684.0,7.23056847458761
Brazil,2001,19727684.0,15.8483342721242
Brazil,2001,19727684.0,50644.937
Brazil,2001,19727684.0,42.8079097935557
Brazil,2001,19727684.0,1.67561763506706
Brazil,2001,19727684.0,0.0030172425225707
Brazil,2001,19727684.0,19.4075902878085
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,-5623564000.0
Brazil,2001,19727684.0,8195390289.86955
Brazil,2001,19727684.0,15129451035.2037
Brazil,2001,19727684.0,58.627861056434
Brazil,2001,19727684.0,47.0933340221254
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,8.0
Brazil,2001,19727684.0,55.5786701239887
Brazil,2001,19727684.0,42.7013339268396
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,56.1249316036127
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,2323801.0
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,8.65999984741211
Brazil,2001,19727684.0,4.03999996185303
Brazil,2001,19727684.0,5.8600001335144
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,57.07
Brazil,2001,19727684.0,-4.23565868067802
Brazil,2001,19727684.0,-23718998372.847
Brazil,2001,19727684.0,91.077766418457
Brazil,2001,19727684.0,93.1314315795898
Brazil,2001,19727684.0,92.9409408569336
Brazil,2001,19727684.0,92.3102874755859
Brazil,2001,19727684.0,8.54960632
Brazil,2001,19727684.0,270.18981934
Brazil,2001,19727684.0,791.76177979
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,6.149
Brazil,2001,19727684.0,22.9153206153309
Brazil,2001,19727684.0,15851073136.0
Brazil,2001,19727684.0,50070244251.4
Brazil,2001,19727684.0,2.3496317093
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,17.8566666666667
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,-0.00018310546875
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,29.0040380203225
Brazil,2001,19727684.0,29.0040380203225
